date,is_exam,is_deadline,is_academic_event,is_personal,is_stress_period,source_events,categories
2026-03-05,0,0,0,0,1,Ent201 ödev,stress_before_deadline
2026-03-06,0,0,0,0,1,Ent201 ödev,stress_before_deadline
2026-03-07,0,0,0,0,1,Ent201 ödev; Linkedin mail kavek,stress_before_deadline
2026-03-08,0,1,0,0,1,Ent201 ödev; Linkedin mail kavek,deadline; stress_before_deadline
2026-03-09,0,0,0,0,1,LA Form; Linkedin mail kavek,stress_before_deadline
2026-03-10,0,1,0,0,1,LA Form; Linkedin mail kavek,deadline; stress_before_deadline
2026-03-11,0,0,0,0,1,LA Form,stress_before_deadline
2026-03-12,0,1,0,0,1,LA Form; Ulusal staj programı son gün,deadline; stress_before_deadline
2026-03-13,0,1,0,0,1,Cs201 ödev; LA Form; Ulusal staj programı son gün,deadline; stress_before_deadline
2026-03-14,0,0,0,0,1,Cs201 ödev; Ulusal staj programı son gün,stress_before_deadline
2026-03-15,0,1,0,0,1,Cs201 ödev; THY Mülakat; Ulusal staj programı son gün,deadline; stress_before_deadline
2026-03-16,0,1,0,0,1,Cs201 ödev; THY Mülakat,deadline; stress_before_deadline
2026-03-17,0,0,1,0,1,Github dsa; THY Mülakat,academic_event; stress_before_deadline
2026-03-18,0,1,0,0,0,THY Mülakat,deadline
2026-03-22,0,0,0,1,1,Beril foto; CS201 MIDTERM I; IE311 MIDTERM I,personal; stress_before_exam
2026-03-23,0,0,0,1,1,Beril foto; CS201 MIDTERM I; IE311 MIDTERM I,personal; stress_before_exam
2026-03-24,0,0,1,0,1,CS201 MIDTERM I; IE311 MIDTERM I; Proj201 toplantısı,academic_event; stress_before_exam
2026-03-25,0,0,0,0,1,CS201 MIDTERM I; IE311 MIDTERM I,stress_before_exam
2026-03-26,0,0,0,0,1,CS201 MIDTERM I; IE311 MIDTERM I,stress_before_exam
2026-03-27,0,0,0,0,1,CS201 MIDTERM I; Cs hoca mail; DSA Project Proposal; IE311 MIDTERM I; İe hocası şikayet mail,stress_before_deadline; stress_before_exam
2026-03-28,0,0,0,0,1,CS201 MIDTERM I; Cs hoca mail; DSA Project Proposal; IE311 MIDTERM I; İe hocası şikayet mail,stress_before_deadline; stress_before_exam
2026-03-29,1,0,0,0,1,CS201 MIDTERM I; Cs hoca mail; DSA Project Proposal; IE311 MIDTERM I; MATH204 MIDTERM I; İe hocası şikayet mail,exam; stress_before_deadline; stress_before_exam
2026-03-30,0,1,0,0,1,Akbank sınav son; Cs hoca mail; DSA Project Proposal; MATH204 MIDTERM I; İe hocası şikayet mail,deadline; stress_before_exam
2026-03-31,0,0,0,0,1,Akbank sınav son; Cs hoca mail; MATH204 MIDTERM I,stress_before_deadline; stress_before_exam
2026-04-01,0,0,0,0,1,Akbank sınav son; Cs hoca mail; MATH204 MIDTERM I,stress_before_deadline; stress_before_exam
2026-04-02,0,0,0,1,1,Akbank sınav son; Beril sponsorluk; Cs hoca mail; MATH204 MIDTERM I,personal; stress_before_deadline; stress_before_exam
